home,guest,attendance,game_date
Buducnost VOLI Podgorica,FC Bayern Munich,5047,2019-03-01
KIROLBET Baskonia Vitoria-Gasteiz,Zalgiris Kaunas,10410,2019-02-28
Olympiacos Piraeus,CSKA Moscow,9530,2019-03-01
FC Barcelona Lassa,Real Madrid,7311,2019-03-01
Darussafaka Tekfen Istanbul,Panathinaikos OPAP Athens,2983,2019-03-07
Zalgiris Kaunas,Herbalife Gran Canaria,13569,2019-03-07
FC Bayern Munich,Maccabi FOX Tel Aviv,4930,2019-03-07
Real Madrid,Fenerbahce Beko Istanbul,11471,2019-03-07
CSKA Moscow,AX Armani Exchange Olimpia Milan,6142,2019-03-08
Anadolu Efes Istanbul,FC Barcelona Lassa,14161,2019-03-08
Buducnost VOLI Podgorica,Olympiacos Piraeus,4854,2019-03-08
KIROLBET Baskonia Vitoria-Gasteiz,Khimki Moscow Region,10739,2019-03-08
Khimki Moscow Region,Real Madrid,6456,2019-03-14
Zalgiris Kaunas,FC Bayern Munich,14788,2019-03-14
Maccabi FOX Tel Aviv,Anadolu Efes Istanbul,10708,2019-03-14
AX Armani Exchange Olimpia Milan,Olympiacos Piraeus,10096,2019-03-14
Herbalife Gran Canaria,Darussafaka Tekfen Istanbul,3648,2019-03-14
CSKA Moscow,Panathinaikos OPAP Athens,6410,2019-03-15
Fenerbahce Beko Istanbul,FC Barcelona Lassa,12628,2019-03-15
KIROLBET Baskonia Vitoria-Gasteiz,Buducnost VOLI Podgorica,9743,2019-03-15
Anadolu Efes Istanbul,CSKA Moscow,14258,2019-03-19
Fenerbahce Beko Istanbul,Buducnost VOLI Podgorica,7738,2019-03-19
Olympiacos Piraeus,FC Bayern Munich,6808,2019-03-19
FC Barcelona Lassa,Herbalife Gran Canaria,5312,2019-03-19
Darussafaka Tekfen Istanbul,Khimki Moscow Region,2094,2019-03-20
Panathinaikos OPAP Athens,KIROLBET Baskonia Vitoria-Gasteiz,16513,2019-03-20
Maccabi FOX Tel Aviv,Zalgiris Kaunas,10377,2019-03-20
Real Madrid,AX Armani Exchange Olimpia Milan,8978,2019-03-20
CSKA Moscow,Fenerbahce Beko Istanbul,10762,2019-03-21
Buducnost VOLI Podgorica,Anadolu Efes Istanbul,4755,2019-03-21
FC Bayern Munich,FC Barcelona Lassa,5151,2019-03-21
Herbalife Gran Canaria,Olympiacos Piraeus,4914,2019-03-21
Khimki Moscow Region,Maccabi FOX Tel Aviv,4901,2019-03-22
Zalgiris Kaunas,Darussafaka Tekfen Istanbul,15178,2019-03-22
KIROLBET Baskonia Vitoria-Gasteiz,Real Madrid,12657,2019-03-22
AX Armani Exchange Olimpia Milan,Panathinaikos OPAP Athens,6611,2019-03-22
Panathinaikos OPAP Athens,Real Madrid,18003,2019-03-28
Maccabi FOX Tel Aviv,Herbalife Gran Canaria,10296,2019-03-28
AX Armani Exchange Olimpia Milan,Fenerbahce Beko Istanbul,11851,2019-03-28
FC Barcelona Lassa,Buducnost VOLI Podgorica,4784,2019-03-28
Khimki Moscow Region,CSKA Moscow,6978,2019-03-29
Darussafaka Tekfen Istanbul,FC Bayern Munich,3892,2019-03-29
KIROLBET Baskonia Vitoria-Gasteiz,Anadolu Efes Istanbul,11099,2019-03-29
Olympiacos Piraeus,Zalgiris Kaunas,9527,2019-03-29
CSKA Moscow,KIROLBET Baskonia Vitoria-Gasteiz,5437,2019-04-04
Anadolu Efes Istanbul,AX Armani Exchange Olimpia Milan,5888,2019-04-04
Panathinaikos OPAP Athens,Buducnost VOLI Podgorica,13312,2019-04-04
Real Madrid,Zalgiris Kaunas,8437,2019-04-04
Fenerbahce Beko Istanbul,Maccabi FOX Tel Aviv,10432,2019-04-05
FC Bayern Munich,Herbalife Gran Canaria,4037,2019-04-05
Olympiacos Piraeus,Darussafaka Tekfen Istanbul,4136,2019-04-05
FC Barcelona Lassa,Khimki Moscow Region,4975,2019-04-05
