Yr,Lg,Series, , ,Team,W, ,Team,W, ,Favorite,Underdog
2017,NBA,Western Conf First Round,"Apr 16 - Apr 24, 2017",,Golden State Warriors (1),,,Portland Trail Blazers (8),,,GSW (-7000),POR (+3000)
2017,NBA,Western Conf First Round,"Apr 15 - Apr 27, 2017",,San Antonio Spurs (2),,,Memphis Grizzlies (7),,,SAS (-1070),MEM (+685)
2017,NBA,Western Conf First Round,"Apr 16 - Apr 25, 2017",,Houston Rockets (3),,,Oklahoma City Thunder (6),,,HOU (-390),OKC (+320)
2017,NBA,Western Conf First Round,"Apr 15 - Apr 30, 2017",,Utah Jazz (5),,,Los Angeles Clippers (4),,,LAC (-245),UTA (+205)
2017,NBA,Eastern Conf Semifinals,"May 1 - May 7, 2017",,Cleveland Cavaliers (2),,,Toronto Raptors (3),,,CLE (-475),TOR (+380)
2017,NBA,Eastern Conf Semifinals,"Apr 30 - May 15, 2017",,Boston Celtics (1),,,Washington Wizards (4),,,BOS (-185),WAS (+160)
2017,NBA,Western Conf Semifinals,"May 2 - May 8, 2017",,Golden State Warriors (1),,,Utah Jazz (5),,,GSW (-3200),UTA (+1600)
2017,NBA,Western Conf Semifinals,"May 1 - May 11, 2017",,San Antonio Spurs (2),,,Houston Rockets (3),,,SAS (-300),HOU (+250)
2017,NBA,Western Conf Finals,"May 14 - May 22, 2017",,Golden State Warriors (1),,,San Antonio Spurs (2),,,GSW (-1050),SAS (+675)
2017,NBA,Eastern Conf Finals,"May 17 - May 25, 2017",,Cleveland Cavaliers (2),,,Boston Celtics (1),,,CLE (-700),BOS (+500)
2017,NBA,Finals,"Jun 1 - Jun 12, 2017",,Golden State Warriors (1),,,Cleveland Cavaliers (2),,,GSW (-300),CLE (+250)
,,,,,,,,,,,,
2016,NBA,Eastern Conf First Round,"Apr 17 - Apr 24, 2016",,Cleveland Cavaliers (1),,,Detroit Pistons (8),,,CLE (-1700),DET (+1100)
2016,NBA,Eastern Conf First Round,"Apr 16 - May 1, 2016",,Toronto Raptors (2),,,Indiana Pacers (7),,,TOR (-400),IND (+325)
2016,NBA,Eastern Conf First Round,"Apr 17 - May 1, 2016",,Miami Heat (3),,,Charlotte Hornets (6),,,MIA (-170),CHA (+1000)
2016,NBA,Eastern Conf First Round,"Apr 16 - Apr 28, 2016",,Atlanta Hawks (4),,,Boston Celtics (5),,,ATL (-165),BOS (+145)
2016,NBA,Western Conf First Round,"Apr 16 - Apr 27, 2016",,Golden State Warriors (1),,,Houston Rockets (8),,,GSW (-10000),HOU (+4000)
2016,NBA,Western Conf First Round,"Apr 17 - Apr 24, 2016",,San Antonio Spurs (2),,,Memphis Grizzlies (7),,,SAS (-17000),MEM (+6625)
2016,NBA,Western Conf First Round,"Apr 16 - Apr 25, 2016",,Oklahoma City Thunder (3),,,Dallas Mavericks (6),,,OKC (-3500),DAL (+1750)
2016,NBA,Western Conf First Round,"Apr 17 - Apr 29, 2016",,Portland Trail Blazers (5),,,Los Angeles Clippers (4),,,LAC (-525),POR (+415)
2016,NBA,Eastern Conf Semifinals,"May 2 - May 8, 2016",,Cleveland Cavaliers (1),,,Atlanta Hawks (4),,,CLE (-500),ATL (+400)
2016,NBA,Eastern Conf Semifinals,"May 3 - May 15, 2016",,Toronto Raptors (2),,,Miami Heat (3),,,TOR (-145),MIA (+125)
2016,NBA,Western Conf Semifinals,"May 1 - May 11, 2016",,Golden State Warriors (1),,,Portland Trail Blazers (5),,,GSW (-1600),POR (+1050)
2016,NBA,Western Conf Semifinals,"Apr 30 - May 12, 2016",,Oklahoma City Thunder (3),,,San Antonio Spurs (2),,,SAS (-270),OKC (+230)
2016,NBA,Eastern Conf Finals,"May 17 - May 27, 2016",,Cleveland Cavaliers (1),,,Toronto Raptors (2),,,CLE (-1350),TOR (+885)
2016,NBA,Western Conf Finals,"May 16 - May 30, 2016",,Golden State Warriors (1),,,Oklahoma City Thunder (3),,,GSW (-430),OKC (+345)
2016,NBA,Finals,"Jun 2 - Jun 19, 2016",,Cleveland Cavaliers (1),,,Golden State Warriors (1),,,GSW (-220),CLE (+180)
,,,,,,,,,,,,
2015,NBA,Eastern Conf First Round,"Apr 19 - May 1, 2015",,Atlanta Hawks (1),,,Brooklyn Nets (8),,,ATL (-1350),BRK (+900)
2015,NBA,Eastern Conf First Round,"Apr 19 - Apr 26, 2015",,Cleveland Cavaliers (2),,,Boston Celtics (7),,,CLE (-5000),BOS (+2100)
2015,NBA,Eastern Conf First Round,"Apr 18 - Apr 30, 2015",,Chicago Bulls (3),,,Milwaukee Bucks (6),,,CHI (-950),MIL (+700)
2015,NBA,Eastern Conf First Round,"Apr 18 - Apr 26, 2015",,Washington Wizards (5),,,Toronto Raptors (4),,,TOR (-175),WAS (+155)
2015,NBA,Western Conf First Round,"Apr 18 - Apr 25, 2015",,Golden State Warriors (1),,,New Orleans Pelicans (8),,,GSW (-3000),NOP (+1500)
2015,NBA,Western Conf First Round,"Apr 18 - Apr 28, 2015",,Houston Rockets (2),,,Dallas Mavericks (7),,,HOU (-260),DAL (+220)
2015,NBA,Western Conf First Round,"Apr 19 - May 2, 2015",,Los Angeles Clippers (3),,,San Antonio Spurs (6),,,SAS (-180),LAC (+160)
2015,NBA,Western Conf First Round,"Apr 19 - Apr 29, 2015",,Memphis Grizzlies (5),,,Portland Trail Blazers (4),,,MEM (-225),POR (+195)
2015,NBA,Eastern Conf Semifinals,"May 4 - May 14, 2015",,Cleveland Cavaliers (2),,,Chicago Bulls (3),,,CLE (-240),CHI (+200)
2015,NBA,Eastern Conf Semifinals,"May 3 - May 15, 2015",,Atlanta Hawks (1),,,Washington Wizards (5),,,ATL (-245),WAS (+205)
2015,NBA,Western Conf Semifinals,"May 4 - May 17, 2015",,Houston Rockets (2),,,Los Angeles Clippers (3),,,HOU (-150),LAC (+130)
2015,NBA,Western Conf Semifinals,"May 3 - May 15, 2015",,Golden State Warriors (1),,,Memphis Grizzlies (5),,,GSW (-1000),MEM (+725)
2015,NBA,Eastern Conf Finals,"May 20 - May 26, 2015",,Cleveland Cavaliers (2),,,Atlanta Hawks (1),,,CLE (-190),ATL (+165)
2015,NBA,Western Conf Finals,"May 19 - May 27, 2015",,Golden State Warriors (1),,,Houston Rockets (2),,,GSW (-880),HOU (+665)
2015,NBA,Finals,"Jun 4 - Jun 16, 2015",,Golden State Warriors (1),,,Cleveland Cavaliers (2),,,GSW (-220),CLE (+190)
Yr,Lg,Series, , ,Team,W, ,Team,W, ,Favorite,Underdog
2014,NBA,Eastern Conf First Round,"Apr 19 - May 3, 2014",,Indiana Pacers (1),,,Atlanta Hawks (8),,,IND (-600),ATL (+440)
2014,NBA,Eastern Conf First Round,"Apr 20 - Apr 28, 2014",,Miami Heat (2),,,Charlotte Bobcats (7),,,MIA (-2500),CHA (+1000)
2014,NBA,Eastern Conf First Round,"Apr 19 - May 4, 2014",,Brooklyn Nets (6),,,Toronto Raptors (3),,,BRK (-130),TOR (+110)
2014,NBA,Eastern Conf First Round,"Apr 20 - Apr 29, 2014",,Washington Wizards (5),,,Chicago Bulls (4),,,CHI (-180),WAS (+160)
2014,NBA,Western Conf First Round,"Apr 20 - May 4, 2014",,San Antonio Spurs (1),,,Dallas Mavericks (8),,,SAS (-875),DAL (+585)
2014,NBA,Western Conf First Round,"Apr 19 - May 3, 2014",,Oklahoma City Thunder (2),,,Memphis Grizzlies (7),,,OKC (-500),MEM (+375)
2014,NBA,Western Conf First Round,"Apr 19 - May 3, 2014",,Los Angeles Clippers (3),,,Golden State Warriors (6),,,LAC (-400),GSW (+285)
2014,NBA,Western Conf First Round,"Apr 20 - May 2, 2014",,Portland Trail Blazers (5),,,Houston Rockets (4),,,HOU (-200),POR (+170)
2014,NBA,Eastern Conf Semifinals,"May 5 - May 15, 2014",,Indiana Pacers (1),,,Washington Wizards (5),,,IND (-165),WAS (+145)
2014,NBA,Eastern Conf Semifinals,"May 6 - May 14, 2014",,Miami Heat (2),,,Brooklyn Nets (6),,,MIA (-620),BRK (+450)
2014,NBA,Western Conf Semifinals,"May 6 - May 14, 2014",,San Antonio Spurs (1),,,Portland Trail Blazers (5),,,SAS (-410),POR (+320)
2014,NBA,Western Conf Semifinals,"May 5 - May 15, 2014",,Oklahoma City Thunder (2),,,Los Angeles Clippers (3),,,OKC (-205),LAC (+175)
2014,NBA,Eastern Conf Finals,"May 18 - May 30, 2014",,Miami Heat (2),,,Indiana Pacers (1),,,MIA (-380),IND (+300)
2014,NBA,Western Conf Finals,"May 19 - May 31, 2014",,San Antonio Spurs (1),,,Oklahoma City Thunder (2),,,SAS (-245),OKC (+205)
2014,NBA,Finals,"Jun 5 - Jun 15, 2014",,San Antonio Spurs (1),,,Miami Heat (2),,,SAS (-155),MIA (+135)
,,,,,,,,,,,,
2013,NBA,Eastern Conf First Round,"Apr 21 - Apr 28, 2013",,Miami Heat (1),,,Milwaukee Bucks (8),,,MIA (-20000),MIL (+7500)
2013,NBA,Eastern Conf First Round,"Apr 20 - May 3, 2013",,New York Knicks (2),,,Boston Celtics (7),,,NYK (-410),BOS (+320)
2013,NBA,Eastern Conf First Round,"Apr 21 - May 3, 2013",,Indiana Pacers (3),,,Atlanta Hawks (6),,,IND (-380),ATL (+300)
2013,NBA,Eastern Conf First Round,"Apr 20 - May 4, 2013",,Chicago Bulls (5),,,Brooklyn Nets (4),,,BRK (-145),CHI (+125)
2013,NBA,Western Conf First Round,"Apr 21 - May 3, 2013",,Oklahoma City Thunder (1),,,Houston Rockets (8),,,OKC (-1900),HOU (+875)
2013,NBA,Western Conf First Round,"Apr 21 - Apr 28, 2013",,San Antonio Spurs (2),,,Los Angeles Lakers (7),,,SAS (-1000),LAL (+650)
2013,NBA,Western Conf First Round,"Apr 20 - May 2, 2013",,Golden State Warriors (6),,,Denver Nuggets (3),,,DEN (-460),GSW (+355)
2013,NBA,Western Conf First Round,"Apr 20 - May 3, 2013",,Memphis Grizzlies (5),,,Los Angeles Clippers (4),,,LAC (-180),MEM (+160)
2013,NBA,Eastern Conf Semifinals,"May 6 - May 15, 2013",,Miami Heat (1),,,Chicago Bulls (5),,,MIA (-3000),CHI (+1100)
2013,NBA,Eastern Conf Semifinals,"May 5 - May 18, 2013",,Indiana Pacers (3),,,New York Knicks (2),,,NYK (-190),IND (+165)
2013,NBA,Western Conf Semifinals,"May 5 - May 15, 2013",,Memphis Grizzlies (5),,,Oklahoma City Thunder (1),,,MEM (-127),OKC (+107)
2013,NBA,Western Conf Semifinals,"May 6 - May 16, 2013",,San Antonio Spurs (2),,,Golden State Warriors (6),,,SAS (-950),GSW (+625)
2013,NBA,Eastern Conf Finals,"May 22 - Jun 3, 2013",,Miami Heat (1),,,Indiana Pacers (3),,,MIA (-850),IND (+575)
