jump_id,jump_name,jump_team,jump_id_2,jump_name_2,jump_team_2,grab_id,grab_name,grab_team,period,at_time,game_id,WL,height,weight,height_2,weight_2,question,win_jb,lose_jb
201188,Marc Gasol,MEM,203458,Alex Len,ATL,1629027,Trae Young,ATL,1,12:00,0021800020,W,211.0,116.0,213.0,113.0,False,False,True
1628991,Jaren Jackson Jr.,MEM,203458,Alex Len,ATL,1627761,DeAndre' Bembry,ATL,2,10:51,0021800020,W,211.0,110.0,213.0,113.0,False,False,True
203458,Alex Len,ATL,201188,Marc Gasol,MEM,1629027,Trae Young,ATL,1,12:00,0021800020,L,213.0,113.0,211.0,116.0,False,True,False
203458,Alex Len,ATL,1628991,Jaren Jackson Jr.,MEM,1627761,DeAndre' Bembry,ATL,2,10:51,0021800020,L,213.0,113.0,211.0,110.0,False,True,False
1626157,Karl-Anthony Towns,MIN,202684,Tristan Thompson,CLE,201959,Taj Gibson,MIN,1,12:00,0021800021,W,211.0,112.0,206.0,115.0,False,True,False
202710,Jimmy Butler,MIN,201567,Kevin Love,CLE,201588,George Hill,CLE,2,3:46,0021800021,W,201.0,104.0,203.0,114.0,False,False,True
202684,Tristan Thompson,CLE,1626157,Karl-Anthony Towns,MIN,201959,Taj Gibson,MIN,1,12:00,0021800021,L,206.0,115.0,211.0,112.0,False,False,True
201567,Kevin Love,CLE,202710,Jimmy Butler,MIN,201588,George Hill,CLE,2,3:46,0021800021,L,203.0,114.0,201.0,104.0,False,True,False
203076,Anthony Davis,NOP,1626161,Willie Cauley-Stein,SAC,202703,Nikola Mirotic,NOP,1,12:00,0021800022,W,208.0,115.0,213.0,109.0,False,True,False
1626161,Willie Cauley-Stein,SAC,203076,Anthony Davis,NOP,202703,Nikola Mirotic,NOP,1,12:00,0021800022,L,213.0,109.0,208.0,115.0,False,False,True
201572,Brook Lopez,MIL,1626167,Myles Turner,IND,201152,Thaddeus Young,IND,1,12:00,0021800023,W,213.0,128.0,211.0,113.0,False,False,True
203507,Giannis Antetokounmpo,MIL,203506,Victor Oladipo,IND,202339,Eric Bledsoe,MIL,4,8:27,0021800023,W,211.0,110.0,193.0,97.0,False,True,False
1626167,Myles Turner,IND,201572,Brook Lopez,MIL,201152,Thaddeus Young,IND,1,12:00,0021800023,L,211.0,113.0,213.0,128.0,False,True,False
203506,Victor Oladipo,IND,203507,Giannis Antetokounmpo,MIL,202339,Eric Bledsoe,MIL,4,8:27,0021800023,L,193.0,97.0,211.0,110.0,False,False,True
203497,Rudy Gobert,UTA,1627745,Damian Jones,GSW,202324,Derrick Favors,UTA,1,12:00,0021800024,L,216.0,117.0,211.0,111.0,False,True,False
1627745,Damian Jones,GSW,203497,Rudy Gobert,UTA,202324,Derrick Favors,UTA,1,12:00,0021800024,W,211.0,111.0,216.0,117.0,False,False,True
101162,Marcin Gortat,LAC,203500,Steven Adams,OKC,202699,Tobias Harris,LAC,1,12:00,0021800025,W,,,211.0,120.0,False,True,False
201601,Luc Mbah a Moute,LAC,202331,Paul George,OKC,202699,Tobias Harris,LAC,4,1:26,0021800025,W,,,203.0,100.0,False,True,False
203500,Steven Adams,OKC,101162,Marcin Gortat,LAC,202699,Tobias Harris,LAC,1,12:00,0021800025,L,211.0,120.0,,,False,False,True
202331,Paul George,OKC,201601,Luc Mbah a Moute,LAC,202699,Tobias Harris,LAC,4,1:26,0021800025,L,203.0,100.0,,,False,False,True
1626167,Myles Turner,IND,1628386,Jarrett Allen,BKN,1626156,D'Angelo Russell,BKN,1,12:00,0021800026,W,211.0,113.0,211.0,110.0,False,False,True
1628386,Jarrett Allen,BKN,1626167,Myles Turner,IND,1626156,D'Angelo Russell,BKN,1,12:00,0021800026,L,211.0,110.0,211.0,113.0,False,True,False
101133,Ian Mahinmi,WAS,202685,Jonas Valanciunas,TOR,200768,Kyle Lowry,TOR,1,12:00,0021800027,L,211.0,119.0,211.0,120.0,False,False,True
202693,Markieff Morris,WAS,1628384,OG Anunoby,TOR,203490,Otto Porter Jr.,WAS,1,10:05,0021800027,L,203.0,111.0,201.0,105.0,False,True,False
202693,Markieff Morris,WAS,201586,Serge Ibaka,TOR,200768,Kyle Lowry,TOR,4,0:36,0021800027,L,203.0,111.0,213.0,107.0,False,False,True
202685,Jonas Valanciunas,TOR,101133,Ian Mahinmi,WAS,200768,Kyle Lowry,TOR,1,12:00,0021800027,W,211.0,120.0,211.0,119.0,False,True,False
1628384,OG Anunoby,TOR,202693,Markieff Morris,WAS,203490,Otto Porter Jr.,WAS,1,10:05,0021800027,W,201.0,105.0,203.0,111.0,False,False,True
201586,Serge Ibaka,TOR,202693,Markieff Morris,WAS,200768,Kyle Lowry,TOR,4,0:36,0021800027,W,213.0,107.0,203.0,111.0,False,True,False
202683,Enes Kanter,NYK,201143,Al Horford,BOS,202681,Kyrie Irving,BOS,1,12:00,0021800028,L,208.0,113.0,206.0,109.0,False,False,True
203501,Tim Hardaway Jr.,NYK,201143,Al Horford,BOS,202681,Kyrie Irving,BOS,2,5:33,0021800028,L,196.0,93.0,206.0,109.0,False,False,True
201143,Al Horford,BOS,202683,Enes Kanter,NYK,202681,Kyrie Irving,BOS,1,12:00,0021800028,W,206.0,109.0,208.0,113.0,False,True,False
201143,Al Horford,BOS,203501,Tim Hardaway Jr.,NYK,202681,Kyrie Irving,BOS,2,5:33,0021800028,W,206.0,109.0,196.0,93.0,False,True,False
203954,Joel Embiid,PHI,202696,Nikola Vucevic,ORL,201571,D.J. Augustin,ORL,1,12:00,0021800029,W,213.0,127.0,211.0,118.0,False,False,True
200755,JJ Redick,PHI,202696,Nikola Vucevic,ORL,203095,Evan Fournier,ORL,4,2:17,0021800029,W,190.0,91.0,211.0,118.0,False,False,True
203496,Robert Covington,PHI,202696,Nikola Vucevic,ORL,203095,Evan Fournier,ORL,4,0:04,0021800029,W,201.0,95.0,211.0,118.0,False,False,True
202696,Nikola Vucevic,ORL,203954,Joel Embiid,PHI,201571,D.J. Augustin,ORL,1,12:00,0021800029,L,211.0,118.0,213.0,127.0,False,True,False
202696,Nikola Vucevic,ORL,200755,JJ Redick,PHI,203095,Evan Fournier,ORL,4,2:17,0021800029,L,211.0,118.0,190.0,91.0,False,True,False
202696,Nikola Vucevic,ORL,203496,Robert Covington,PHI,203095,Evan Fournier,ORL,4,0:04,0021800029,L,211.0,118.0,201.0,95.0,False,True,False
202355,Hassan Whiteside,MIA,203469,Cody Zeller,CHA,1627884,Derrick Jones Jr.,MIA,1,12:00,0021800030,L,213.0,120.0,213.0,109.0,False,True,False
202355,Hassan Whiteside,MIA,203087,Jeremy Lamb,CHA,201609,Goran Dragic,MIA,1,8:32,0021800030,L,213.0,120.0,196.0,82.0,False,True,False
1627884,Derrick Jones Jr.,MIA,203077,Michael Kidd-Gilchrist,CHA,202355,Hassan Whiteside,MIA,1,5:02,0021800030,L,198.0,95.0,198.0,105.0,False,True,False
1628389,Bam Adebayo,MIA,203077,Michael Kidd-Gilchrist,CHA,1628389,Bam Adebayo,MIA,1,3:28,0021800030,L,206.0,116.0,198.0,105.0,False,True,False
202355,Hassan Whiteside,MIA,203469,Cody Zeller,CHA,1627884,Derrick Jones Jr.,MIA,3,9:06,0021800030,L,213.0,120.0,213.0,109.0,False,True,False
