video_id,channel_id,publish_date,collection_date
IE36vl0WDS4,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-03 07:23:44.000000,2019-12-29 16:13:33.727620
j-zh90N77uk,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-04 08:30:17.000000,2019-12-29 16:13:33.727530
pZ9cxB4Kpu4,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-05 07:37:02.000000,2019-12-29 16:13:33.727440
2Oft_jLXIG8,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-06 07:31:07.000000,2019-12-29 16:13:33.727349
Ybjvx3bfxC0,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-07 05:42:48.000000,2019-12-29 16:13:33.727259
Df2mtuHKtVE,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-08 07:04:08.000000,2019-12-29 16:13:33.727169
LxpfHadDn_s,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-09 08:13:48.000000,2019-12-29 16:13:33.727078
I33ru3gqK7g,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-10 07:14:05.000000,2019-12-29 16:13:33.726989
qUKWgrLh19c,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-11 07:38:10.000000,2019-12-29 16:13:33.726900
uEF5OkYuDl0,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-12 07:51:59.000000,2019-12-29 16:13:33.726811
63_m65sK7oQ,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-13 07:46:54.000000,2019-12-29 16:13:33.726722
_5JStrC8CPg,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-14 06:05:33.000000,2019-12-29 16:13:33.726632
dlSBK0Alaqc,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-15 07:18:50.000000,2019-12-29 16:13:33.726542
5QeDyNTF2Bs,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-16 07:23:36.000000,2019-12-29 16:13:33.726451
iLErBlAtp5k,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-17 07:55:35.000000,2019-12-29 16:13:33.726362
yVpaYTKZa_c,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-18 06:39:58.000000,2019-12-29 16:13:33.726271
mqHyJ2TQiY4,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-19 07:32:17.000000,2019-12-29 16:13:33.726181
D5E1yHkkh_Q,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-20 07:38:33.000000,2019-12-29 16:13:33.726091
LjeIiaBrfZA,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-21 05:30:39.000000,2019-12-29 16:13:33.726001
PYFvX1H7I80,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-22 07:21:27.000000,2019-12-29 16:13:33.725911
ARgHZhtej2U,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-23 15:28:12.000000,2019-12-29 16:13:33.725821
YTqNzcatM7w,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-24 06:55:19.000000,2019-12-29 16:13:33.725731
