playlist_name,playlist_id,playlist_publish_date,playlist_n_videos,channel_id,channel_name,collection_date
Dew NBA 3X – 2017,PLlVlyGVtvuVlFdeY-eQFjQj0OZCNh4FuK,2017-05-18 15:57:38.000000,43,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.629442
NBA 360,PLlVlyGVtvuVkNhjekVBYt3VHVukwb9eLS,2017-05-02 16:02:43.000000,39,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.629498
2017 NBA Awards,PLlVlyGVtvuVmksy7EiKU_zH0N1MRx30BD,2017-04-27 21:17:34.000000,20,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.629553
Best of 2016-2017 NBA Season,PLlVlyGVtvuVmDUjcBdDEFyB5ZD9a41CxE,2017-04-24 16:18:24.000000,16,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.629608
2018 Best of NBA All-Star Weekend,PLlVlyGVtvuVll4Te_6kO4CsI7dcPJKQLt,2017-02-19 14:22:28.000000,35,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.629664
NBA Playmakers,PLlVlyGVtvuVlBLtZt-1GdC_0S0rfXTPWA,2017-01-28 15:51:47.000000,263,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.629720
Tune In to the Clippers vs Warriors on NBA Saturday Primetime @ 830 pm ET on ABC!,PLlVlyGVtvuVmyWBTF56L3QOpVr3YUiIGA,2017-01-27 22:14:44.000000,30,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.629775
NBA Tissot Buzzer Beaters,PLlVlyGVtvuVnjdjxDHr3wHzM5dTCPmtab,2017-01-26 05:31:04.000000,9,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.629830
All-Star 2016-2017,PLlVlyGVtvuVk9wmeBEvJpSwekIqdU1btj,2017-01-20 08:36:48.000000,19,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.629885
2017 NBA Global Games: London,PLlVlyGVtvuVl-sNEImNVbWy0ySLPY39ba,2017-01-12 17:21:09.000000,6,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.629938
NBA Global Games Mexico,PLlVlyGVtvuVmxeRbdf6_tZjm2baEdQSwv,2017-01-12 17:20:12.000000,1,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.629993
Best of The Year 2016,PLlVlyGVtvuVnXMnbJ_IdDGcTkIV6y-mwR,2016-12-31 15:10:13.000000,9,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.630048
CLE @ GSW 8pm ET on TNT!,PLlVlyGVtvuVm57-xQvP8ow2BpLAAHH32O,2016-12-23 17:13:12.000000,13,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.630103
Mini-Mix: 2016-2017 Season Highlights,PLlVlyGVtvuVkwf5qtYaNuNrFs-vP-Mz9B,2016-12-15 03:43:53.000000,36,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.630162
2016-2017 Season: Best Of The Month,PLlVlyGVtvuVn23X3HPKgQqb8_Br-HSCPG,2016-12-01 21:41:11.000000,24,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.630216
#TIWWP This is Why We Play 2017,PLlVlyGVtvuVlLtmL-C06NMlFjGCcntO-O,2016-11-07 00:35:48.000000,10,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.630271
@NBAHISTORY,PLlVlyGVtvuVnJTERAY3YW_GOIQBM9E7UW,2016-11-03 14:06:48.000000,11,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.630326
Tissot Buzzer Beaters,PLlVlyGVtvuVmbI6pVhVC47huQdIA_1mec,2016-11-01 01:37:58.000000,17,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.630379
2016-17 Top 10s of the Week,PLlVlyGVtvuVkuEHajpcrCYqRmaENlBqTH,2016-10-31 14:18:23.000000,30,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.630434
2016-2017 NBA Season Full Highlights,PLlVlyGVtvuVkQictxrOHRFlIcf5H9z1wR,2016-10-26 12:02:42.000000,5,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.630489
2016-17 Top Plays of the Night,PLlVlyGVtvuVnAx-u38QOieyVIrMEmzuDx,2016-10-26 07:47:11.000000,276,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.630544
2016 Preseason Top Plays of the Night,PLlVlyGVtvuVmyWoH4xEB-HRUyYQJt9xVc,2016-10-08 02:14:34.000000,19,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.630599
All About Tim Duncan,PLlVlyGVtvuVmnXabxORvJCQqV2MMA1Sb0,2016-07-21 13:02:26.000000,20,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.630653
2016 Summer League,PLlVlyGVtvuVkT0dPywYhCmpGHr0chrCnd,2016-07-02 16:50:58.000000,51,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.630707
"NBA Vault: The 1996 NBA Draft (Kobe, Nash, Iverson and more..)",PLlVlyGVtvuVm_t16er97uIAb0GZKZ9jNM,2016-06-29 17:55:46.000000,21,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.630760
2016 NBA Draft,PLlVlyGVtvuVnNvb6t7cKVuohZbHIP5PQ5,2016-06-21 14:03:51.000000,18,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.630814
Best of 2016 NBA Finals,PLlVlyGVtvuVlUiipHh01N38HdMfDEtJEE,2016-06-07 17:45:30.000000,33,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.630869
Player Top 10's of the 2015-16 Season,PLlVlyGVtvuVlM1a-BVilY4pSEfrtTQi0K,2016-05-01 00:18:39.000000,17,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.630923
This Is Why We Play #TIWWP in the 2016 Finals,PLlVlyGVtvuVkGWK_nad9P5y-ay7vGFOtK,2016-04-26 23:33:10.000000,7,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.630977
Top 10s of the 2015-2016 NBA Season,PLlVlyGVtvuVmCCx0kRDLTsNyHTS1W9ZpB,2016-04-25 20:07:52.000000,26,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.631033
The Golden State Warriors' Quest For History Tonight on ESPN @ 10:30 ET,PLlVlyGVtvuVnb5F3F2kGMZQNtWcsmlJBq,2016-04-13 11:57:02.000000,13,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.631087
Tune In To The Warriors vs The Grizzlies Saturday @ 8pm ET on ESPN,PLlVlyGVtvuVkbBISGzVMcDfPUC76SXnuh,2016-04-07 15:06:14.000000,10,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.631141
Naismith Memorial Basketball Hall of Fame Class of 2016,PLlVlyGVtvuVnv7ZNUaCKS_BHDXTg_lJcc,2016-04-04 15:31:55.000000,29,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.631195
NBA Leaning In #LeanIn,PLlVlyGVtvuVmIBcJi36fK5_QtAsLOYWXE,2016-03-24 13:46:55.000000,5,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.631250
This is Why We Play #TIWWP,PLlVlyGVtvuVmUAuLjIwKOoI8lmdjjrwJu,2016-03-01 18:30:58.000000,12,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.631304
2016 NBA All-Star Weekend,PLlVlyGVtvuVnlcqKGQ9tAmea8Hoq1EggH,2016-02-14 18:59:27.000000,41,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.631358
2016 All-Star Weekend Must See Videos!,PLlVlyGVtvuVmdvkt91nlBS9HsbLzOIDMn,2016-02-11 22:44:55.000000,71,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.631413
2016 All-Star Top 10's,PLlVlyGVtvuVkD-LSjhbIgFuIJzXcIBLXA,2016-01-22 01:26:30.000000,24,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.631468
Top 10's of 2015,PLlVlyGVtvuVloD_FNzOLrAmDh_r3qnM-k,2015-12-30 15:00:28.000000,17,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.631522
Taco Bell #LiveMasHYSTERIA,PLlVlyGVtvuVljcssEciJ9ufw2zdzlJKn8,2015-12-29 06:40:18.000000,31,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.631577
NBA's Best of Christmas,PLlVlyGVtvuVla_Yp_-Z3nYh55QR0XKNJw,2015-12-22 15:55:44.000000,30,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:33.792223
Christmas Day Games: 2015 Edition,PLlVlyGVtvuVngRqP8BcNzHSOVv8WzYT-P,2015-12-20 15:10:29.000000,17,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:33.792304
2015-16 Top 10s of the Week,PLlVlyGVtvuVkO2UhE8VWy0YRaBNXMXJ5P,2015-12-16 05:41:51.000000,60,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:33.792391
Kobe Bryant - #KB20,PLlVlyGVtvuVmRYbOgSW-QB2Nwl15Lozov,2015-12-15 23:40:43.000000,73,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:33.792448
Best of Phantom: 2015-2016 Season,PLlVlyGVtvuVk4e06chnaOhZsZF36kAXZP,2015-12-11 14:29:01.000000,29,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:33.792501
Top 10 State Farm Assists of the Week,PLlVlyGVtvuVlI3IjSQevDn3RzaO5QH-t0,2015-12-09 19:43:06.000000,39,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:33.792554
2015-16 Top 10s of the Month,PLlVlyGVtvuVkVEB2zwtqQoySfaNKzb42V,2015-12-02 22:40:24.000000,14,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:33.792606
Best of JrNBA,PLlVlyGVtvuVkF7bleMe7dBOed7MVHd5ir,2015-10-19 14:19:25.000000,5,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:33.792660
NBA Rooks Class of 2015,PLlVlyGVtvuVlfpd7Z1Pr_0_kOhqSHtise,2015-10-13 00:00:31.000000,16,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:33.792712
Hall of Fame Class of 2015,PLlVlyGVtvuVlWTeRk3TcKEJ4MwvJb6DRK,2015-09-08 14:54:10.000000,22,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:33.792763
NBA Mixtape Highlights,PLlVlyGVtvuVks3bo43uTjqMiKc9t9IXaq,2015-08-31 12:46:29.000000,42,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:33.792814
2015 NBA Summer League,PLlVlyGVtvuVmxobECirdttdVT7JV97JpR,2015-07-05 15:59:41.000000,65,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:33.792866
NBA Players in China Summer 2015,PLlVlyGVtvuVnr3tT6z4qYYmaEIWhPAhfA,2015-07-03 16:12:35.000000,3,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:33.792917
Team Top 10s 2014-2015 Season,PLlVlyGVtvuVlbRPTjrnY5EIX_1DANCuMl,2015-07-03 16:06:31.000000,30,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:33.792968
2015 NBA Draft,PLlVlyGVtvuVn5-fzqDFiICLmsi1Ymnejp,2015-06-24 18:28:52.000000,25,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:33.793019
Must See NBA FINALS Videos,PLlVlyGVtvuVmI-MXBmWblovByIIFQE7h5,2015-05-31 13:42:11.000000,95,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:33.793069
Sprite Presents Drive on the Court,PLlVlyGVtvuVnjBR3S2nDxrUgmObykjNwm,2015-05-29 16:03:52.000000,10,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:33.793120
Sim Bhullar Visits India,PLlVlyGVtvuVmSD-28YPDFfFaZsh7JPkrQ,2015-05-12 19:19:13.000000,4,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:33.793170
Best of 2015 NBA Finals + Playoffs,PLlVlyGVtvuVmFhdwPyym3d6-n8_T_4A_J,2015-04-18 14:43:19.000000,282,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:33.793220
Top 10's of the 2014-15 NBA Season,PLlVlyGVtvuVk5lr-Qp3kb7f2hFskxhUEM,2015-04-18 14:27:27.000000,27,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:33.793270
Houston Rockets vs Washington Wizards on ABC at 12:30ET!!!,PLlVlyGVtvuVlhI_bDPj89AXFjPXZduATj,2015-03-29 12:51:51.000000,8,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:33.793321
